"report_date","transport_mode","route_name","route_type","route_stops","route_direction","first_stop","last_stop","depot_name","route_frequency","route_number_of_services","stop_order_number","stop_name","stop_id","route_length","operated_days","operated_hours","street_name","stop_location_longitude","stop_location_latitude","bus_stop_type","time_table_panel","mupi_available","rtpi_available","last_survey_date"
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"11","Etisalat","GG11","22","0","0","","55.401007","25.254805","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"12","Al Qusais","GG12","22","0","0","","55.387476","25.262659","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"13","Dubai Airport Free Zone","GG13","22","0","0","","55.375009","25.269929","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"14","Al Nahda","GG14","22","0","0","","55.369341","25.273274","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"15","Stadium","GG15","22","0","0","","55.361580","25.277802","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"16","Al Qiyadah","GG16","22","0","0","","55.352765","25.277667","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"17","Abu Hail","GG17","22","0","0","","55.346268","25.275242","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"18","Abu Baker Al Siddique","GG18","22","0","0","","55.332983","25.270904","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"19","Salah Al Din","GG19","22","0","0","","55.320669","25.270345","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"20","Union - Green Line","GG20","22","0","0","","55.313903","25.266336","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"21","Baniyas Square","GG21","22","0","0","","55.307602","25.269416","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"22","Gold Souq","GG22","22","0","0","","55.301778","25.276196","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"23","Al Ras","GG23","22","0","0","","55.293728","25.268862","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"24","Al Ghubaiba","GG24","22","0","0","","55.288954","25.265085","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"25","Sharaf DG","GG25","22","0","0","","55.297559","25.258301","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"26","BurJuman - Green Line","GG26","22","0","0","","55.304253","25.254856","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"27","Oud Metha","GG27","22","0","0","","55.315957","25.243667","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"28","Dubai Healthcare City","GG28","22","0","0","","55.322867","25.230903","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"29","Al Jadaf","GG29","22","0","0","","55.333674","25.224978","","","","",""
"31/10/2022","","Green","0","20","1","Etisalat","Creek","Al Qusais","7",null,"30","Creek","GG30","22","0","0","","55.338953","25.218949","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"11","Etisalat","G11","22","0","0","","55.401007","25.254805","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"12","Al Qusais","G12","22","0","0","","55.387476","25.262659","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"13","Dubai Airport Free Zone","G13","22","0","0","","55.375009","25.269929","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"14","Al Nahda","G14","22","0","0","","55.369341","25.273274","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"15","Stadium","G15","22","0","0","","55.361580","25.277802","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"16","Al Qiyadah","G16","22","0","0","","55.352765","25.277667","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"17","Abu Hail","G17","22","0","0","","55.346268","25.275242","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"18","Abu Baker Al Siddique","G18","22","0","0","","55.332983","25.270904","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"19","Salah Al Din","G19","22","0","0","","55.320669","25.270345","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"20","Union - Green Line","G20","22","0","0","","55.313903","25.266336","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"21","Baniyas Square","G21","22","0","0","","55.307602","25.269416","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"22","Gold Souq","G22","22","0","0","","55.301778","25.276196","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"23","Al Ras","G23","22","0","0","","55.293728","25.268862","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"24","Al Ghubaiba","G24","22","0","0","","55.288954","25.265085","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"25","Sharaf DG","G25","22","0","0","","55.297559","25.258301","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"26","BurJuman - Green Line","G26","22","0","0","","55.304253","25.254856","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"27","Oud Metha","G27","22","0","0","","55.315957","25.243667","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"28","Dubai Healthcare City","G28","22","0","0","","55.322867","25.230903","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"29","Al Jadaf","G29","22","0","0","","55.333674","25.224978","","","","",""
"31/10/2022","","Green","0","20","2","Creek","Etisalat","Al Qusais","7",null,"30","Creek","G30","22","0","0","","55.338953","25.218949","","","","",""
"31/10/2022","","Red","0","5","1","Jabal Ali ","UAE Exchange","Rashidiya & Jabal Ali","5",null,"38","Jabal Ali ","RRRRR38","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","1","Jabal Ali ","UAE Exchange","Rashidiya & Jabal Ali","5",null,"39","IBN Battuta","R39","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","1","Jabal Ali ","UAE Exchange","Rashidiya & Jabal Ali","5",null,"40","Energy","R40","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","1","Jabal Ali ","UAE Exchange","Rashidiya & Jabal Ali","5",null,"41","Danube","R41","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","1","Jabal Ali ","UAE Exchange","Rashidiya & Jabal Ali","5",null,"42","UAE Exchange","RR42","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","2","UAE Exchange","Jabal Ali ","Rashidiya & Jabal Ali","5",null,"38","Jabal Ali","R38","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","2","UAE Exchange","Jabal Ali ","Rashidiya & Jabal Ali","5",null,"39","IBN Battuta","RR39","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","2","UAE Exchange","Jabal Ali ","Rashidiya & Jabal Ali","5",null,"40","Energy","RR40","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","2","UAE Exchange","Jabal Ali ","Rashidiya & Jabal Ali","5",null,"41","Danube","RR41","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","5","2","UAE Exchange","Jabal Ali ","Rashidiya & Jabal Ali","5",null,"42","UAE Exchange","R42","10","0","0","",null,null,"","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"11","Centrepoint","RR11","55","0","0","","55.391198","25.230223","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"12","Emirates","RR12","55","0","0","","55.365727","25.241059","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"13","Airport Terminal 3","RR13","55","0","0","","55.359526","25.245013","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"14","Airport Terminal 1","RR14","55","0","0","","55.352474","25.248428","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"15","GGICO","RR15","55","0","0","","55.340034","25.249497","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"16","Deira City Centre","RR16","55","0","0","","55.330077","25.254304","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"17","Al Rigga","RR17","55","0","0","","55.324123","25.263261","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"18","Union - Red Line","RR18","55","0","0","","55.313903","25.266336","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"19","BurJuman - Red Line","RR19","55","0","0","","55.304253","25.254856","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"20","ADCB","RR20","55","0","0","","55.298196","25.244494","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"21","max","RR21","55","0","0","","55.292132","25.233497","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"22","World Trade Centre","RR22","55","0","0","","55.285061","25.224829","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"23","Emirates Towers","RR23","55","0","0","","55.279821","25.217214","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"24","Financial Centre","RR24","55","0","0","","55.275587","25.211030","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"25","Burj Khalifa / Dubai Mall","RR25","55","0","0","","55.269518","25.201401","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"26","Business Bay","RR26","55","0","0","","55.260419","25.191275","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"29","Al Safa","RR29","55","0","0","","55.228509","25.155727","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"31","Umm Al Sheif","RR31","55","0","0","","55.207898","25.126721","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"32","Mall of the Emirates","RR32","55","0","0","","55.200443","25.121231","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"33","mashreq","RR33","55","0","0","","55.190931","25.114809","","","","",""
"31/10/2022","","Red","0","31","1","Centrepoint","EXPO","Rashidiya & Jabal Ali","6",null,"34","Dubai Internet City","RR34","55","0","0","","55.173781","25.102095","","","","",""
