"id","year","communitynumber_communityname_ar","communitynumber_communityname_en","population"
"1","2018","415-الخيران الأولى","415-AL KHAIRAN FIRST","2"
"2","2018","416-ند الحمر","416-NAD AL HAMAR","13589"
"3","2018","421-الورقاء الأولى","421-AL WARQAA FIRST","21696"
"4","2018","422-الورقاء الثانية","422-AL WARQAA  SECOND","10237"
"5","2018","423-الورقاء الثالثة","423-AL WARQAA THIRD","14208"
"6","2018","424- الورقاء الرابعة ","424-AL WARQAA FOURTH ","12910"
"7","2018","425- الورقاء الخامسة ","425-AL WARQAA FIFTH ","60"
"8","2018","431-وادي الشبك ","431-WADI ALSHABAK ","55"
"9","2018","501-نخلة جبل علي","501-NAKHLAT JABAL ALI","5"
"10","2018","502-الواجهة البحرية","502-AL WAJEHAH AL BHARIYAH","4"
"11","2018","511-حصيان الاولى","511-HESSYAN FIRST","3300"
"12","2018","512-حصيان الثانية","512-HESSYAN SECOND","45"
"13","2018","513-سيح شعيب 1","513-SAIH SHUAIB 1","9"
"14","2018","516-جبل علي الصناعية الثالثة ","516-JABAL ALI INDUSTRIAL THIRD","2462"
"15","2018","518-جبل علي الصناعية الثانية","518-JABAL ALI INDUSTRIAL SECOND","23000"
"16","2018","521-مدينة المطار","521-MADINAT AL MATAAR","2183"
"17","2018","531-سيح شعيب 2","531-SAIH SHUAIB 2","13665"
"18","2018","532-سيح شعيب 3","532-SAIH SHUAIB 3","11144"
"19","2018","533-سيح شعيب 4","533-SAIH SHUAIB 4","11170"
"20","2018","591-جبل علي الأولى","591-JABAL ALI FIRST","69115"
"21","2018","592-جبل علي الثانية","592-JABAL ALI  SECOND","1561"
"22","2018","824-أم الدمن","824-UMM AL DAMAN","258"
"23","2018","826-الحميرا","826-LE HEMAIRA","53"
"24","2018","831-لهباب الثانية","831-LEHBAB SECOND","1363"
"25","2018","835-أم المؤمنين","835-UMM AL MOMENEEN","309"
"26","2018","841-مرغم","841-MARGHAM","930"
"27","2018","845-المها","845-AL MAHA","175"
"28","2018","847-أم السلي","847-UMM ESELAY","187"
"29","2018","851-رماح","851-REMAH","232"
"30","2018","857-مرقب","857-MARGAB","570"
"31","2018","861-يراح","861-YARAAH","94"
"32","2018","891-حتا","891-HATTA","13295"
"33","2018","941-قريطيسه","941-GRAYTEESAH","55"
"34","2018","945-الفقع","945-AL FAGAA","395"
"35","2018","951-سيح السلم","951-SAIH AL SALAM","589"
"36","2018","956-الحثمة","956-AL HATHMAH","35"
"37","2018","961-الصلال","961-AL SELAL","660"
"38","2018","967-غدير براشي","967-GHADEER BARASHY","7"
"39","2018","971-سيح الدحل","971-SAIH AL DAHAL","16"
"40","2018","975-العشوش","975-AL OSHOOSH","0"
"41","2018","978-سيح شعيله","978-SAIH SHUAALAH","3"
"42","2018","981-مقطره","981-MUGATRAH","804"
"43","2018","987-الليان 1","987-AL LAYAN 1","10"
"44","2018","988-الليان 2","988-AL LAYAN 2","0"
"45","2018","991-حفير","991-HEFAIR","0"
"46","2018","101-نخلة ديرة","101-NAKHLAT DEIRA","2"
"47","2018","111-الكورنيش","111-AL CORNICHE","1655"
"48","2018","112-الرأس","112-AL RASS","7314"
"49","2018","113-الضغاية","113-AL DHAGAYA","15453"
"50","2018","114-البطين","114-AL BUTEEN","2766"
"51","2018","115-السبخة","115-AL SABKHA","3861"
"52","2018","116-عيال ناصر","116-AYAL NASIR","18925"
"53","2018","117-المرر","117-AL MURAR","38294"
"54","2018","118-نايف","118-NAIF","48804"
"55","2018","119-الرقة","119-AL REGA","10279"
"56","2018","121-كورنيش ديرة","121-CORNICHE DEIRA","14"
"57","2018","392-مرسى دبي (الميناء السياحي) ","392-MARSA DUBAI (AL MINA AL SEYAHI) ","55052"
"58","2018","388-الثنيه الثالثة (تلال الامارات الثانية)","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","17737"
"59","2018","384-الثنيه الثانية (مضمار جبل علي)","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"60","2018","383-الثنيه الأولى (قرية ربيع الصحراء)","383-AL THANYAH FIRST (V. RABIE SAHRAA)","22638"
"61","2018","382-الصفوح الثانية","382-AL SOFOUH SECOND","5592"
"62","2018","381-نخلة جميرا ","381-NAKHLAT JUMEIRA ","22333"
"63","2018","376-البرشاء الثانية","376-AL BAESHAA SECOND","14815"
"64","2018","375-البرشاء الثالثة","375-AL BARSHAA THIRD","13990"
"65","2018","373-البرشاء الأولى","373-AL BARSHAA FIRST","35469"
"66","2018","372-الصفوح الأولى","372-AL SAFOUH FIRST","4112"
"67","2018","369-القوز الصناعية الرابعة ","369-AL GOZE IND. FOURTH ","38280"
"68","2018","368-القوز الصناعية الثالثة ","368-AL GOZE IND. THIRD ","25360"
"69","2018","367-ام الشيف","367-UM AL SHEIF","4097"
"70","2018","366-ام سقيم الثالثة","366-UM SUQAIM THIRD","7021"
"71","2018","365-القوز الصناعية الثانية ","365-AL GOZE IND. SECOND ","158543"
"72","2018","364-القوز الصناعية الأولى ","364-AL GOZE IND. FIRST ","26569"
"73","2018","363-المنارة","363-AL MANARA","7709"
"74","2018","362-ام سقيم الثانية","362-UM SUQAIM SECOND","11456"
"75","2018","359-القوز الرابعة","359-AL GOZE FOURTH","21788"
"76","2018","358-القوز الثالثة","358-AL GOZE THIRD","40541"
"77","2018","357-الصفا الثانية","357-AL SAFFA SECOND","6247"
"78","2018","356-ام سقيم الأولى","356-UM SUQAIM FIRST","10867"
"79","2018","355-القوز الثانية","355-AL GOZE SECOND","4551"
"80","2018","354-القوز الأولى","354-AL GOZE FIRST","18845"
"81","2018","353-الصفا الأولى","353-AL SAFFA FIRST","7893"
"82","2018","352-جميرا الثالثة","352-JUMEIRA THIRD","12493"
"83","2018","347-المركاض","347-AL MERKADH","819"
"84","2018","346-الخليج التجاري","346-AL KALIJ AL TEJARI","19715"
"85","2018","345-برج خليفة","345-BURJ KHALIFA","18698"
"86","2018","343-الوصل","343-AL WASL","11156"
"87","2018","342-جميرا الثانية","342-JUMEIRA SECOND","9380"
"88","2018","337-زعبيل الثانية","337-ZAABEEL SECOND","7509"
"89","2018","336-المركز التجاري الثانية","336-TRADE CENTER SECOND","12155"
"90","2018","393-الثنيه الخامسة (تلال الامارات الاولى)","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","37067"
"91","2018","394-الثنيه الرابعة (تلال الامارات الثالثة)","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","23488"
"92","2018","412-الخيران","412-AL KHEERAN","4641"
"93","2018","911-أم نهد الأولى","911-UMM NAHAD FIRST","8"
"94","2018","912-أم نهد الثانية","912-UMM NAHAD SECOND","2"
"95","2018","913-أم نهد الثالثة","913-UMM NAHAD THIRD","2329"
"96","2018","914-أم نهد الرابعة","914-UMM NAHAD FOURTH","4"
"97","2018","915-اليفره 1","915-AL YUFRAH 1","403"
"98","2018","916-اليفره 2","916-AL YUFRAH 2","2"
"99","2018","917-المرموم","917-AL MARMOOM","79"
"100","2018","918-اليفره 3","918-AL YUFRAH 3","4"
"101","2018","919-اليفره 4","919-AL YUFRAH 4","3"
"102","2018","921-اليلايس 1","921-AL YALAYIS 1","0"
"103","2018","922-اليلايس 2","922-AL YALAYIS 2","217"
"104","2018","923-اليلايس 3","923-AL YALAYIS 3","4"
"105","2018","924-اليلايس 4","924-AL YALAYIS 4","8"
"106","2018","811-ورسان الثالثة","811-WARSAN THIRD","13316"
"107","2018","812-الرويه الأولى","812-AL ROWAIYAH FIRST","2923"
"108","2018","813-الرويه الثانية","813-AL ROWAIYAH SECOND","25"
"109","2018","814-الرويه الثالثة","814-AL ROWAIYAH THIRD","4036"
"110","2018","821-مرييل","821-MEREIYEEL","1119"
"111","2018","925-اليلايس 5","925-AL YALAYIS 5","100"
"112","2018","931-الليسيلي","931-AL LESAILY","2633"
"113","2018","413-رأس الخور","413-RAS AL KHOR","2"
"114","2018","646-وادي الصفا 4","646-WADI AL SAFA 4","2"
"115","2018","648-وادي الصفا 5","648-WADI AL SAFA 5","19550"
"116","2018","664-وادي الصفا 6 (المرابع العربية)","664-WADI AL SAFA 6 (ARABIAN RANCHES)","16179"
"117","2018","665-وادي الصفا 7 ","665-WADI AL SAFA 7","7740"
"118","2018","671-البرشاء جنوب الأولى","671-AL BARSHA SOUTH FIRST","13267"
