year,communityname_en_clean,population
2022,MARSA DUBAI (AL MINA AL SEYAHI),63804
2022,AL THANYAH THIRD (EMIRATE HILLS SECOND),22829
2022,AL THANYAH SECOND (JEBEL ALI HORSE RACING),0
2022,AL THANYAH FIRST (V. RABIE SAHRAA),26279
2022,AL SOFOUH SECOND,6609
2022,NAKHLAT JUMEIRA,25550
2022,AL BAESHAA SECOND,16759
2022,AL BARSHAA THIRD,15716
2022,AL BARSHAA FIRST,42332
2022,AL ROWAIYAH THIRD,4938
2022,AL ROWAIYAH SECOND,0
2022,AL SAFOUH FIRST,4779
2022,AL GOZE IND. FOURTH,39092
2022,AL GOZE IND. THIRD,17526
2022,UM AL SHEIF,4715
2022,AL ROWAIYAH FIRST,3283
2022,WARSAN THIRD,12638
2022,UM SUQAIM THIRD,7935
2022,AL GOZE IND. SECOND,129757
2022,HEFAIR,12
2022,AL GOZE IND. FIRST,28561
2022,AL LAYAN 2,0
2022,AL MANARA,8923
2022,UM SUQAIM SECOND,13502
2022,AL LAYAN 1,300
2022,MUGATRAH,348
2022,SAIH SHUAALAH,0
2022,AL GOZE FOURTH,21942
2022,AL GOZE THIRD,50697
2022,AL OSHOOSH,3
2022,SAIH AL DAHAL,3
2022,AL THANYAH FIFTH (EMIRATE HILLS FIRST),41745
2022,GHADEER BARASHY,29
2022,AL THANYAH FOURTH (EMIRATE HILLS THIRD),28990
2022,AL SELAL,685
2022,AL KHEERAN,5333
2022,GRAYTEESAH,58
2022,AL FAGAA,447
2022,AL HATHMAH,37
2022,SAIH AL SALAM,616
2022,AL BADA,58965
2022,AL SATWA,40958
2022,TRADE CENTER FIRST,18014
2022,TRADE CENTER SECOND,13787
2022,ZAABEEL SECOND,8842
2022,JUMEIRA SECOND,10876
2022,AL WASL,12227
2022,BURJ KHALIFA,22291
2022,AL KALIJ AL TEJARI,24410
2022,AL MERKADH,3875
2022,JUMEIRA THIRD,14476
2022,AL SAFFA FIRST,9228
2022,AL GOZE FIRST,21751
2022,AL GOZE SECOND,5655
2022,UM SUQAIM FIRST,12720
2022,AL SAFFA SECOND,7207
2022,JUMEIRA FIRST,21914
2022,AL JADAF,7477
2022,ZAABEEL FIRST,3519
2022,AL KIFAF,1317
2022,AL JAFLIYA,25365
2022,AL HUDAIBA,14789
2022,MADINAT DUBAI AL MELAHEYAH (AL MINA),8440
2022,OUD METHA,15874
2022,AL KARAMA,77139
2022,AL MANKHOOL,42056
2022,AL RAFFA,49440
2022,UM HURAIR SECOND,5746
2022,UM HURAIR FIRST,6611
2022,AL HAMRIYA,38611
2022,AL SUQ AL KABEER,53055
2022,AL SHANDAGA,7
2022,JUMEIRA ISLAND 2,3
2022,WORLD ISLANDS,7
2022,JUMEIRA BAY,50
2022,AL TTAY,10660
2022,AL AYAS,1858
2022,AL KHAWANEEJ TWO,6031
2022,AL KHAWANEEJ ONE,13946
2022,WADI ALAMRADI,3645
2022,OUD AL MUTEEN THIRD,7222
2022,MUHAISANAH FIFTH,2
2022,OUD AL MUTEEN SECOND,5953
2022,OUD AL MUTEEN FIRST,15867
2022,MUHAISANAH SECOND,150710
2022,AL MEZHAR SECOND,12239
2022,AL MAMZER,16901
2022,NAD SHAMMA,3378
2022,AL GARHOUD,20168
2022,UM RAMOOL,3119
2022,AL RASHIDIYA,38408
2022,DUBAI  AIRPORT,121
2022,AL TWAR FIRST,12403
2022,AL TWAR SECOND,5184
2022,AL TWAR THIRD,11439
2022,AL NAHDA FIRST,33484
2022,AL QUSAIS FIRST,49504
2022,AL QUSAIS SECOND,13137
2022,AL QUSAIS THIRD,7685
2022,AL NAHDA SECOND,65947
2022,AL QUSAIS IND. FIRST,11068
2022,AL QUSAIS IND. SECOND,9627
2022,MUHAISANAH THIRD,7024
2022,MUHAISANAH FOURTH,36338
2022,AL QUSAIS IND. THIRD,2838
2022,AL QUSAIS IND. FOURTH,2932
2022,AL QUSAIS IND FIFTH,7032
2022,MURDAF,68346
2022,MUSHRAIF,81
2022,MUHAISANAH FIRST,8809
2022,AL MEZHAR FIRST,17898
2022,JABAL ALI  SECOND,1011
2022,JABAL ALI THIRD,218
2022,MENA JABAL ALI,9527
2022,DUBAI INVESTMENT PARK2,80537
2022,DUBAI INVESTMENT PARK1,63591
2022,JABAL ALI INDUSTRIAL FIRST,199780
2022,BU KADRA,113
2022,RAS AL KHOR IND. FIRST,2176
2022,RAS AL KHOR IND. SECOND,1851
2022,RAS AL KHOR IND. THIRD,22442
2022,NAD AL SHIBBA SECOND,2613
2022,NAD AL SHIBBA THIRD,1259
2022,NAD AL SHIBBA FOURTH,3968
2022,NAD AL SHIBBA FIRST,6872
2022,WARSAN FIRST,108637
2022,WARSAN SECOND,1415
2022,WARSAN FOURTH,10205
2022,NADD HESSA,50559
2022,HADAEQ SHEIKH MOHAMMED BIN RASHID,4692
2022,WADI AL SAFA 2,11010
2022,WADI AL SAFA 3,10475
2022,WADI AL SAFA 4,169
2022,WADI AL SAFA 5,20704
2022,WADI AL SAFA 6 (ARABIAN RANCHES),19268
2022,WADI AL SAFA 7,9358
2022,AL BARSHA SOUTH FIRST,14761
2022,AL BARSHA SOUTH SECOND,7350
2022,AL BARSHA SOUTH THIRD,8660
2022,AL HEBIAH FIRST,11279
2022,AL HEBIAH SECOND,1798
2022,AL HEBIAH THIRD,7419
2022,AL HEBIAH SIXTH,2483
2022,AL BARSHA SOUTH FOURTH,29373
2022,AL HEBIAH FOURTH,21842
2022,AL HEBIAH FIFTH,10412
2022,AL BARSHA SOUTH FIFTH,7997
2022,MEAISEM FIRST,18664
2022,MEAISEM SECOND,13
2022,AL AWEER ONE,4997
2022,AL AWEER TWO,6060
2022,ENKHALI,2
2022,AL WOHOOSH,47
2022,LEHBAB FIRST,3425
2022,AL MERYAL,775
2022,NAZWAH,595
2022,MEREIYEEL,425
2022,UMM AL DAMAN,301
2022,RAS AL KHOR,2
2022,AL KHAIRAN FIRST,2529
2022,NAD AL HAMAR,18520
2022,AL WARQAA FIRST,26803
2022,AL WARQAA  SECOND,11530
2022,AL WARQAA THIRD,15901
2022,AL WARQAA FOURTH,14575
2022,AL WARQAA FIFTH,0
2022,WADI ALSHABAK,90
2022,NAKHLAT JABAL ALI,5
2022,AL WAJEHAH AL BHARIYAH,4
2022,HESSYAN FIRST,3365
2022,HESSYAN SECOND,10418
2022,SAIH SHUAIB 1,90
2022,JABAL ALI INDUSTRIAL THIRD,0
2022,JABAL ALI INDUSTRIAL SECOND,28152
2022,MADINAT AL MATAAR,5885
2022,SAIH SHUAIB 2,12699
2022,SAIH SHUAIB 3,4684
2022,SAIH SHUAIB 4,10806
2022,JABAL ALI FIRST,78243
2022,LE HEMAIRA,56
2022,LEHBAB SECOND,1617
2022,UMM AL MOMENEEN,170
2022,MARGHAM,1230
2022,AL MAHA,206
2022,UMM ESELAY,218
2022,REMAH,195
2022,MARGAB,671
2022,YARAAH,101
2022,HATTA,15324
2022,UMM NAHAD FIRST,8
2022,UMM NAHAD SECOND,2
2022,UMM NAHAD THIRD,3633
2022,UMM NAHAD FOURTH,4
2022,AL YUFRAH 1,403
2022,AL YUFRAH 2,2008
2022,AL MARMOOM,143
2022,AL YUFRAH 3,1754
2022,AL YUFRAH 4,3
2022,AL YALAYIS 1,2494
2022,AL YALAYIS 2,5292
2022,AL YALAYIS 3,4
2022,AL YALAYIS 4,8
2022,AL YALAYIS 5,85
2022,AL LESAILY,3017
2022,NAKHLAT DEIRA,2
2022,AL CORNICHE,2670
2022,AL RASS,8143
2022,AL DHAGAYA,16873
2022,AL BUTEEN,3081
2022,AL SABKHA,4291
2022,AYAL NASIR,20139
2022,AL MURAR,40456
2022,NAIF,53403
2022,AL REGA,11318
2022,CORNICHE DEIRA,15
2022,AL BARAHA,26115
2022,AL MUTEENA,49276
2022,AL MURQABAT,73879
2022,REGA AL BUTEEN,7687
2022,ABU HAIL,18116
2022,HOR AL ANZ,85080
2022,AL KHBEESI,2042
2022,PORT SAEED,14425
2022,AL HAMRIYA PORT,507
2022,AL WAHEDA,21686
2022,HOR AL ANZ EAST,22143
